"CODE","DESCRIPTION","TIMESTAMP"
"INSERT_PROFILE","Add a new Profile","7110273869889408384"
"AMEND_PROFILE","Amend an existing Profile","7110273869893602690"
"DELETE_PROFILE","Delete a Profile","7110273870011043204"
"INSERT_USER","Add a new User","7110273869893602689"
"AMEND_USER","Amend an existing User","7110273869893602691"
"DELETE_USER","Delete a User","7110273870011043206"
"DISABLE_USER","Disable a User","7110273870015237511"
"ENABLE_USER","Enable a User","7110273870036209032"
"CHANGE_PWD","Change another User's password","7110273870011043205"
"EXPIRE_PWD","Expire another User's password","7110273870040403337"
"VIEW_POSITION","Ability to view the Position Data","7110273870040403337"
"VIEW_TRADE","Ability to view trade data","7110273870040403337"
"VIEW_AUDIT","Ability to View admin data","7110273870040403337"
"VIEW_OPERATION","Ability to View operation data","7110273870040403337"